title,POLT,ALT,PALT,ETT,AET,director,year,Display
Maine-Ocean,,,,,,Jacques Rozier,1986,"Maine-Ocean (Jacques Rozier, 1986)"
Revenez plaisirs exilés! (Alceste),,,,,,Jacques Rozier,1992,"Revenez plaisirs exilés! (Alceste) (Jacques Rozier, 1992)"
Fifi Martingale,,,,,,Jacques Rozier,2001,"Fifi Martingale (Jacques Rozier, 2001)"
La Maternelle,,,,Children of Montmartre,,Jean Benoît-Lévy & Marie Epstein,1933,"La Maternelle [Children of Montmartre] (Jean Benoît-Lévy & Marie Epstein, 1933)"
Prends la route,,,,Take the Road,,Jean Boyer,1936,"Prends la route [Take the Road] (Jean Boyer, 1936)"
Circonstances attenuantes,,,,Extenuating Circumstances,,Jean Boyer,1939,"Circonstances attenuantes [Extenuating Circumstances] (Jean Boyer, 1939)"
Nous irons a Paris,,,,We Will All Go to Paris,,Jean Boyer,1950,"Nous irons a Paris [We Will All Go to Paris] (Jean Boyer, 1950)"
Le Sang d'un poète,,,,The Blood of a Poet,,Jean Cocteau,1930,"Le Sang d'un poète [The Blood of a Poet] (Jean Cocteau, 1930)"
La Belle et la Bête,,,,Beauty and the Beast,,Jean Cocteau,1946,"La Belle et la Bête [Beauty and the Beast] (Jean Cocteau, 1946)"
Les Parents terribles,,,,The Storm Within,,Jean Cocteau,1948,"Les Parents terribles [The Storm Within] (Jean Cocteau, 1948)"
Orphée,,,,Orpheus,,Jean Cocteau,1950,"Orphée [Orpheus] (Jean Cocteau, 1950)"
La Villa Santo-Sospir,,,,,,Jean Cocteau,1952,"La Villa Santo-Sospir (Jean Cocteau, 1952)"
Le Testament d'Orphée,,,,Testament of Orpheus,,Jean Cocteau,1960,"Le Testament d'Orphée [Testament of Orpheus] (Jean Cocteau, 1960)"
Maldone,,,,Misdeal,,Jean Grémillon,1928,"Maldone [Misdeal] (Jean Grémillon, 1928)"
Gardiens de phare,,,,The Lighthouse Keepers,,Jean Grémillon,1929,"Gardiens de phare [The Lighthouse Keepers] (Jean Grémillon, 1929)"
La Petite Lise,,,,Little Lise,,Jean Grémillon,1930,"La Petite Lise [Little Lise] (Jean Grémillon, 1930)"
Daïnah la métisse,,,,,,Jean Grémillon,1932,"Daïnah la métisse (Jean Grémillon, 1932)"
Gueule d'amour,,,,Lady Killer,,Jean Grémillon,1937,"Gueule d'amour [Lady Killer] (Jean Grémillon, 1937)"
L'Étrange Monsieur Victor,,,,The Strange Monsieur Victor,,Jean Grémillon,1938,"L'Étrange Monsieur Victor [The Strange Monsieur Victor] (Jean Grémillon, 1938)"
Remorques,,,,Stormy Waters,,Jean Grémillon,1941,"Remorques [Stormy Waters] (Jean Grémillon, 1941)"
Lumière d'été,,,,Summer Light,,Jean Grémillon,1943,"Lumière d'été [Summer Light] (Jean Grémillon, 1943)"
Le ciel est à vous,,,,The Woman Who Dared,,Jean Grémillon,1944,"Le ciel est à vous [The Woman Who Dared] (Jean Grémillon, 1944)"
Le 6 juin a l'aube,,,,June 6th at Dawn,,Jean Grémillon,1946,"Le 6 juin a l'aube [June 6th at Dawn] (Jean Grémillon, 1946)"
Pattes blanches,,,,White Shanks,,Jean Grémillon,1949,"Pattes blanches [White Shanks] (Jean Grémillon, 1949)"
L'Amour d'une femme,,,,The Love of a Woman,,Jean Grémillon,1953,"L'Amour d'une femme [The Love of a Woman] (Jean Grémillon, 1953)"
La fille de l'eau,,,,Whirlpool of Fate,,Jean Renoir,1925,"La fille de l'eau [Whirlpool of Fate] (Jean Renoir, 1925)"
Nana,,,,,,Jean Renoir,1926,"Nana (Jean Renoir, 1926)"
Sur un air de charleston,,,,Charleston Parade,,Jean Renoir,1927,"Sur un air de charleston [Charleston Parade] (Jean Renoir, 1927)"
La Petite Marchande d'allumettes,,,,The Little Match Girl,,Jean Renoir,1928,"La Petite Marchande d'allumettes [The Little Match Girl] (Jean Renoir, 1928)"
Tire-au-flanc,,,,The Sad Sack,,Jean Renoir,1928,"Tire-au-flanc [The Sad Sack] (Jean Renoir, 1928)"
La Chienne,,,,,,Jean Renoir,1931,"La Chienne (Jean Renoir, 1931)"
Boudu sauvé des eaux,,,,Boudu Saved from Drowning,,Jean Renoir,1932,"Boudu sauvé des eaux [Boudu Saved from Drowning] (Jean Renoir, 1932)"
La Nuit du carrefour,,,,Night at the Crossroads,,Jean Renoir,1932,"La Nuit du carrefour [Night at the Crossroads] (Jean Renoir, 1932)"
Chotard et cie,,,,Chotard and Company,,Jean Renoir,1933,"Chotard et cie [Chotard and Company] (Jean Renoir, 1933)"
Madame Bovary,,,,,,Jean Renoir,1934,"Madame Bovary (Jean Renoir, 1934)"
Toni,,,,,,Jean Renoir,1935,"Toni (Jean Renoir, 1935)"
Le Crime de Monsieur Lange,,,,The Crime of Monsieur Lange,,Jean Renoir,1936,"Le Crime de Monsieur Lange [The Crime of Monsieur Lange] (Jean Renoir, 1936)"
Les Bas-fonds,,,,The Lower Depths,,Jean Renoir,1936,"Les Bas-fonds [The Lower Depths] (Jean Renoir, 1936)"
Partie de campagne,,,,A Day in the Country,,Jean Renoir,1936,"Partie de campagne [A Day in the Country] (Jean Renoir, 1936)"
La Grande Illusion,,,,Grand Illusion,,Jean Renoir,1937,"La Grande Illusion [Grand Illusion] (Jean Renoir, 1937)"
La Bête humaine,,,,,,Jean Renoir,1938,"La Bête humaine (Jean Renoir, 1938)"
La Marseillaise,,,,,,Jean Renoir,1938,"La Marseillaise (Jean Renoir, 1938)"
La Règle du jeu,,,,The Rules of the Game,,Jean Renoir,1939,"La Règle du jeu [The Rules of the Game] (Jean Renoir, 1939)"
Swamp Water,,,,,,Jean Renoir,1941,"Swamp Water (Jean Renoir, 1941)"
This Land Is Mine,,,,,,Jean Renoir,1943,"This Land Is Mine (Jean Renoir, 1943)"
The Southerner,,,,,,Jean Renoir,1945,"The Southerner (Jean Renoir, 1945)"
The Diary of a Chambermaid,,,,,,Jean Renoir,1946,"The Diary of a Chambermaid (Jean Renoir, 1946)"
Woman on the Beach,,,,,,Jean Renoir,1947,"Woman on the Beach (Jean Renoir, 1947)"
The River,,,,,,Jean Renoir,1951,"The River (Jean Renoir, 1951)"
Le Carrosse d'or,,,,The Golden Coach,,Jean Renoir,1953,"Le Carrosse d'or [The Golden Coach] (Jean Renoir, 1953)"
French Cancan,,,,,,Jean Renoir,1955,"French Cancan (Jean Renoir, 1955)"
Elena et les hommes,,,,Elena and Her Men,,Jean Renoir,1956,"Elena et les hommes [Elena and Her Men] (Jean Renoir, 1956)"
Le Déjeuner sur l'herbe,,,,Picnic on the Grass,,Jean Renoir,1959,"Le Déjeuner sur l'herbe [Picnic on the Grass] (Jean Renoir, 1959)"
Le Testament du Docteur Cordelier,,,,Experiment in Evil,,Jean Renoir,1959,"Le Testament du Docteur Cordelier [Experiment in Evil] (Jean Renoir, 1959)"
Le Caporal épinglé,,,,The Elusive Corporal,,Jean Renoir,1962,"Le Caporal épinglé [The Elusive Corporal] (Jean Renoir, 1962)"
Le Petit Théâtre de Jean Renoir,,,,The Little Theatre of Jean Renoir,,Jean Renoir,1969,"Le Petit Théâtre de Jean Renoir [The Little Theatre of Jean Renoir] (Jean Renoir, 1969)"
À propos de Nice,,,,,,Jean Vigo,1930,"À propos de Nice (Jean Vigo, 1930)"
"Taris, roi de l'eau",,,,"Jean Taris, Swimming Champion",,Jean Vigo,1931,"Taris, roi de l'eau [Jean Taris, Swimming Champion] (Jean Vigo, 1931)"
Zéro de conduite,,,,Zero for Conduct,,Jean Vigo,1933,"Zéro de conduite [Zero for Conduct] (Jean Vigo, 1933)"
L'Atalante,,,,,,Jean Vigo,1934,"L'Atalante (Jean Vigo, 1934)"
Charlotte et son Jules,,,,Charlotte and Her Boyfriend,,Jean-Luc Godard,1959,"Charlotte et son Jules [Charlotte and Her Boyfriend] (Jean-Luc Godard, 1959)"
"Charlotte et Véronique, ou Tous les garçons s'appellent Patrick",,,,All the Boys Are Called Patrick,,Jean-Luc Godard,1959,"Charlotte et Véronique, ou Tous les garçons s'appellent Patrick [All the Boys Are Called Patrick] (Jean-Luc Godard, 1959)"
À bout de souffle,,,,Breathless,,Jean-Luc Godard,1960,"À bout de souffle [Breathless] (Jean-Luc Godard, 1960)"
Le Petit Soldat,,,,The Little Soldier,,Jean-Luc Godard,1960,"Le Petit Soldat [The Little Soldier] (Jean-Luc Godard, 1960)"
Une femme est une femme,,,,A Woman Is a Woman,,Jean-Luc Godard,1961,"Une femme est une femme [A Woman Is a Woman] (Jean-Luc Godard, 1961)"
Vivre sa vie,,,,My Life to Live,,Jean-Luc Godard,1962,"Vivre sa vie [My Life to Live] (Jean-Luc Godard, 1962)"
Les Carabiniers,,,,,,Jean-Luc Godard,1963,"Les Carabiniers (Jean-Luc Godard, 1963)"
Le Mépris,,,,Contempt,,Jean-Luc Godard,1963,"Le Mépris [Contempt] (Jean-Luc Godard, 1963)"
Bande à part,,,,Band of Outsiders,,Jean-Luc Godard,1964,"Bande à part [Band of Outsiders] (Jean-Luc Godard, 1964)"
Une femme mariée,,,,A Married Woman,,Jean-Luc Godard,1964,"Une femme mariée [A Married Woman] (Jean-Luc Godard, 1964)"
Alphaville: une étrange aventure de Lemmy Caution,,,,,,Jean-Luc Godard,1965,"Alphaville: une étrange aventure de Lemmy Caution (Jean-Luc Godard, 1965)"
Pierrot le fou,,,,,,Jean-Luc Godard,1965,"Pierrot le fou (Jean-Luc Godard, 1965)"
Made in U.S.A.,,,,,,Jean-Luc Godard,1966,"Made in U.S.A. (Jean-Luc Godard, 1966)"
Masculin féminin,,,,,,Jean-Luc Godard,1966,"Masculin féminin (Jean-Luc Godard, 1966)"
2 ou 3 choses que je sais d'elle,,,,Two or Three Things I Know About Her,,Jean-Luc Godard,1966,"2 ou 3 choses que je sais d'elle [Two or Three Things I Know About Her] (Jean-Luc Godard, 1966)"
La Chinoise,,,,,,Jean-Luc Godard,1967,"La Chinoise (Jean-Luc Godard, 1967)"
Week-End,,,,,,Jean-Luc Godard,1967,"Week-End (Jean-Luc Godard, 1967)"
One Plus One,,Sympathy for the Devil,,,,Jean-Luc Godard,1968,"One Plus One [Sympathy for the Devil] (Jean-Luc Godard, 1968)"
Le Gai savoir,,,,The Joy of Learning,,Jean-Luc Godard,1969,"Le Gai savoir [The Joy of Learning] (Jean-Luc Godard, 1969)"
Numéro deux,,,,Number Two,,Jean-Luc Godard,1975,"Numéro deux [Number Two] (Jean-Luc Godard, 1975)"
Sauve qui peut (la vie),,,,Every Man for Himself,,Jean-Luc Godard,1980,"Sauve qui peut (la vie) [Every Man for Himself] (Jean-Luc Godard, 1980)"
Passion,,,,,,Jean-Luc Godard,1982,"Passion (Jean-Luc Godard, 1982)"
Scénario du film 'Passion',,,,,,Jean-Luc Godard,1982,"Scénario du film 'Passion' (Jean-Luc Godard, 1982)"
Prénom Carmen,,,,First Name: Carmen,,Jean-Luc Godard,1983,"Prénom Carmen [First Name: Carmen] (Jean-Luc Godard, 1983)"
Détective,,,,,,Jean-Luc Godard,1985,"Détective (Jean-Luc Godard, 1985)"
"Je vous salue, Marie",,,,Hail Mary,,Jean-Luc Godard,1985,"Je vous salue, Marie [Hail Mary] (Jean-Luc Godard, 1985)"
Grandeur et décadence d'un petit commerce de cinéma,,,,The Rise and Fall of a Small Film Company,,Jean-Luc Godard,1986,"Grandeur et décadence d'un petit commerce de cinéma [The Rise and Fall of a Small Film Company] (Jean-Luc Godard, 1986)"
Soigne ta droite,,,,Keep Your Right Up,,Jean-Luc Godard,1987,"Soigne ta droite [Keep Your Right Up] (Jean-Luc Godard, 1987)"
King Lear,,,,,,Jean-Luc Godard,1987,"King Lear (Jean-Luc Godard, 1987)"
Puissance de la parole,,,,The Power of Speech,,Jean-Luc Godard,1988,"Puissance de la parole [The Power of Speech] (Jean-Luc Godard, 1988)"
Nouvelle vague,,,,,,Jean-Luc Godard,1990,"Nouvelle vague (Jean-Luc Godard, 1990)"
Allemagne année 90 neuf zéro,,,,Germany Year 90 Nine Zero,,Jean-Luc Godard,1991,"Allemagne année 90 neuf zéro [Germany Year 90 Nine Zero] (Jean-Luc Godard, 1991)"
"Je vous salue, Sarajevo",,,,Hail Sarajevo,,Jean-Luc Godard,1993,"Je vous salue, Sarajevo [Hail Sarajevo] (Jean-Luc Godard, 1993)"
Hélas pour moi,,,,"Oh, Woe is Me",,Jean-Luc Godard,1993,"Hélas pour moi [Oh, Woe is Me] (Jean-Luc Godard, 1993)"
"JLG/JLG, autoportrait de décembre",,,,Self-Portrait in December,,Jean-Luc Godard,1994,"JLG/JLG, autoportrait de décembre [Self-Portrait in December] (Jean-Luc Godard, 1994)"
De l'origine du XXIe siècle,,,,Origins of the 21st Century,,Jean-Luc Godard,2000,"De l'origine du XXIe siècle [Origins of the 21st Century] (Jean-Luc Godard, 2000)"
Eloge de l'amour,,,,In Praise of Love,,Jean-Luc Godard,2001,"Eloge de l'amour [In Praise of Love] (Jean-Luc Godard, 2001)"
Dans le noir du temps,,,,,,Jean-Luc Godard,2002,"Dans le noir du temps (Jean-Luc Godard, 2002)"
Moments choisis,,,,,,Jean-Luc Godard,2004,"Moments choisis (Jean-Luc Godard, 2004)"
Notre musique,,,,,,Jean-Luc Godard,2004,"Notre musique (Jean-Luc Godard, 2004)"
Film socialisme,,,,,,Jean-Luc Godard,2010,"Film socialisme (Jean-Luc Godard, 2010)"
Adieu au langage,,,,Goodbye to Language,,Jean-Luc Godard,2014,"Adieu au langage [Goodbye to Language] (Jean-Luc Godard, 2014)"
Le Livre d'image,,,,The Image Book,,Jean-Luc Godard,2018,"Le Livre d'image [The Image Book] (Jean-Luc Godard, 2018)"
Histoire(s) du cinéma,,,,,,Jean-Luc Godard,1988-1998,"Histoire(s) du cinéma (Jean-Luc Godard, 1988-1998)"
"Six fois deux, sur et sous la communication",,,,Six Times Two: Over and Under Communication,,Jean-Luc Godard & Anne-Marie Miéville,1976,"Six fois deux, sur et sous la communication [Six Times Two: Over and Under Communication] (Jean-Luc Godard & Anne-Marie Miéville, 1976)"
Soft and Hard,,,,,,Jean-Luc Godard & Anne-Marie Miéville,1985,"Soft and Hard (Jean-Luc Godard & Anne-Marie Miéville, 1985)"
The Old Place,,,,,,Jean-Luc Godard & Anne-Marie Miéville,2000,"The Old Place (Jean-Luc Godard & Anne-Marie Miéville, 2000)"
Liberté et patrie,,,,Freedom and Fatherland,,Jean-Luc Godard & Anne-Marie Miéville,2002,"Liberté et patrie [Freedom and Fatherland] (Jean-Luc Godard & Anne-Marie Miéville, 2002)"
France/tour/détour/deux enfants,,,,France/Tour/Detour/Two Children,,Jean-Luc Godard & Anne-Marie Miéville,1977-1978,"France/tour/détour/deux enfants [France/Tour/Detour/Two Children] (Jean-Luc Godard & Anne-Marie Miéville, 1977-1978)"
Une histoire d'eau,,,,A Story of Water,,Jean-Luc Godard & François Truffaut,1958,"Une histoire d'eau [A Story of Water] (Jean-Luc Godard & François Truffaut, 1958)"
British Sounds,,See You at Mao,,,,Jean-Luc Godard & Jean-Henri Roger [Groupe Dziga Vertov],1970,"British Sounds [See You at Mao] (Jean-Luc Godard & Jean-Henri Roger [Groupe Dziga Vertov], 1970)"
Lotte in Italia,,Luttes en Italie,,Struggles in Italy,,Jean-Luc Godard & Jean-Pierre Gorin [Groupe Dziga Vertov],1971,"Lotte in Italia [Luttes en Italie] [Struggles in Italy] (Jean-Luc Godard & Jean-Pierre Gorin [Groupe Dziga Vertov], 1971)"
Vladimir et Rosa,,,,,,Jean-Luc Godard & Jean-Pierre Gorin [Groupe Dziga Vertov],1971,"Vladimir et Rosa (Jean-Luc Godard & Jean-Pierre Gorin [Groupe Dziga Vertov], 1971)"
Letter to Jane: An Investigation About a Still,,,,,,Jean-Luc Godard & Jean-Pierre Gorin [Groupe Dziga Vertov],1972,"Letter to Jane: An Investigation About a Still (Jean-Luc Godard & Jean-Pierre Gorin [Groupe Dziga Vertov], 1972)"
Tout va bien,,,,Everything's Going Fine,,Jean-Luc Godard & Jean-Pierre Gorin [Groupe Dziga Vertov],1972,"Tout va bien [Everything's Going Fine] (Jean-Luc Godard & Jean-Pierre Gorin [Groupe Dziga Vertov], 1972)"
Un film comme les autres,,,,A Film Like Any Other,,Jean-Luc Godard [Groupe Dziga Vertov],1968,"Un film comme les autres [A Film Like Any Other] (Jean-Luc Godard [Groupe Dziga Vertov], 1968)"
Pravda,,,,,,"Jean-Luc Godard, Jean-Henri Roger & Paul Burron [Groupe Dziga Vertov]",1969,"Pravda (Jean-Luc Godard, Jean-Henri Roger & Paul Burron [Groupe Dziga Vertov], 1969)"
Le Vent d'est,,,,Wind from the East,,"Jean-Luc Godard, Jean-Pierre Gorin & Gérard Martin [Groupe Dziga Vertov]",1970,"Le Vent d'est [Wind from the East] (Jean-Luc Godard, Jean-Pierre Gorin & Gérard Martin [Groupe Dziga Vertov], 1970)"
Le Silence de la mer,,,,,,Jean-Pierre Melville,1949,"Le Silence de la mer (Jean-Pierre Melville, 1949)"
Les Enfants terribles,,,,,,Jean-Pierre Melville,1950,"Les Enfants terribles (Jean-Pierre Melville, 1950)"
Quand tu liras cette lettre,,,,When You Read This Letter,,Jean-Pierre Melville,1953,"Quand tu liras cette lettre [When You Read This Letter] (Jean-Pierre Melville, 1953)"
Bob le flambeur,,,,,,Jean-Pierre Melville,1955,"Bob le flambeur (Jean-Pierre Melville, 1955)"
Deux hommes dans Manhattan,,,,Two Men in Manhattan,,Jean-Pierre Melville,1959,"Deux hommes dans Manhattan [Two Men in Manhattan] (Jean-Pierre Melville, 1959)"
"Léon Morin, prêtre",,,,"Léon Morin, Priest",,Jean-Pierre Melville,1961,"Léon Morin, prêtre [Léon Morin, Priest] (Jean-Pierre Melville, 1961)"
Le Doulos,,,,,,Jean-Pierre Melville,1963,"Le Doulos (Jean-Pierre Melville, 1963)"
L'Aîné des Ferchaux,,,,Magnet of Doom,,Jean-Pierre Melville,1963,"L'Aîné des Ferchaux [Magnet of Doom] (Jean-Pierre Melville, 1963)"
Le Deuxième Souffle,,,,Second Breath,,Jean-Pierre Melville,1966,"Le Deuxième Souffle [Second Breath] (Jean-Pierre Melville, 1966)"
Le Samouraï,,,,,,Jean-Pierre Melville,1967,"Le Samouraï (Jean-Pierre Melville, 1967)"
L'Armée des ombres,,,,Army of Shadows,,Jean-Pierre Melville,1969,"L'Armée des ombres [Army of Shadows] (Jean-Pierre Melville, 1969)"
Le Cercle rouge,,,,The Red Circle,,Jean-Pierre Melville,1970,"Le Cercle rouge [The Red Circle] (Jean-Pierre Melville, 1970)"
Un flic,,,,Dirty Money,,Jean-Pierre Melville,1972,"Un flic [Dirty Money] (Jean-Pierre Melville, 1972)"
Piranha,,,,,,Joe Dante,1978,"Piranha (Joe Dante, 1978)"
The Howling,,,,,,Joe Dante,1981,"The Howling (Joe Dante, 1981)"
It's a Good Life,,,,,,Joe Dante,1983,"It's a Good Life (Joe Dante, 1983)"
Gremlins,,,,,,Joe Dante,1984,"Gremlins (Joe Dante, 1984)"
Explorers,,,,,,Joe Dante,1985,"Explorers (Joe Dante, 1985)"
Innerspace,,,,,,Joe Dante,1987,"Innerspace (Joe Dante, 1987)"
The 'Burbs,,,,,,Joe Dante,1989,"The 'Burbs (Joe Dante, 1989)"
Gremlins 2: The New Batch,,,,,,Joe Dante,1990,"Gremlins 2: The New Batch (Joe Dante, 1990)"
Matinee,,,,,,Joe Dante,1993,"Matinee (Joe Dante, 1993)"
The Second Civil War,,,,,,Joe Dante,1997,"The Second Civil War (Joe Dante, 1997)"
Small Soldiers,,,,,,Joe Dante,1998,"Small Soldiers (Joe Dante, 1998)"
Looney Tunes: Back in Action,,,,,,Joe Dante,2003,"Looney Tunes: Back in Action (Joe Dante, 2003)"
Homecoming,,,,,,Joe Dante,2005,"Homecoming (Joe Dante, 2005)"
Shadows,,,,,,John Cassavetes,1959,"Shadows (John Cassavetes, 1959)"
Too Late Blues,,,,,,John Cassavetes,1961,"Too Late Blues (John Cassavetes, 1961)"
A Child is Waiting,,,,,,John Cassavetes,1963,"A Child is Waiting (John Cassavetes, 1963)"
Faces,,,,,,John Cassavetes,1968,"Faces (John Cassavetes, 1968)"
Husbands,,,,,,John Cassavetes,1970,"Husbands (John Cassavetes, 1970)"
Minnie and Moskowitz,,,,,,John Cassavetes,1971,"Minnie and Moskowitz (John Cassavetes, 1971)"
A Woman Under the Influence,,,,,,John Cassavetes,1974,"A Woman Under the Influence (John Cassavetes, 1974)"
The Killing of a Chinese Bookie,,,,,,John Cassavetes,1976,"The Killing of a Chinese Bookie (John Cassavetes, 1976)"
Opening Night,,,,,,John Cassavetes,1977,"Opening Night (John Cassavetes, 1977)"
Gloria,,,,,,John Cassavetes,1980,"Gloria (John Cassavetes, 1980)"
Love Streams,,,,,,John Cassavetes,1984,"Love Streams (John Cassavetes, 1984)"
Just Pals,,,,,,John Ford,1920,"Just Pals (John Ford, 1920)"
The Iron Horse,,,,,,John Ford,1924,"The Iron Horse (John Ford, 1924)"
Kentucky Pride,,,,,,John Ford,1925,"Kentucky Pride (John Ford, 1925)"
3 Bad Men,,,,,,John Ford,1926,"3 Bad Men (John Ford, 1926)"
Air Mail,,,,,,John Ford,1932,"Air Mail (John Ford, 1932)"
Pilgrimage,,,,,,John Ford,1933,"Pilgrimage (John Ford, 1933)"
Judge Priest,,,,,,John Ford,1934,"Judge Priest (John Ford, 1934)"
The Lost Patrol,,,,,,John Ford,1934,"The Lost Patrol (John Ford, 1934)"
The Informer,,,,,,John Ford,1935,"The Informer (John Ford, 1935)"
Steamboat Round the Bend,,,,,,John Ford,1935,"Steamboat Round the Bend (John Ford, 1935)"
Mary of Scotland,,,,,,John Ford,1936,"Mary of Scotland (John Ford, 1936)"
The Plough and the Stars,,,,,,John Ford,1936,"The Plough and the Stars (John Ford, 1936)"
The Prisoner of Shark Island,,,,,,John Ford,1936,"The Prisoner of Shark Island (John Ford, 1936)"
Wee Willie Winkie,,,,,,John Ford,1937,"Wee Willie Winkie (John Ford, 1937)"
The Hurricane,,,,,,John Ford,1937,"The Hurricane (John Ford, 1937)"
Drums Along the Mohawk,,,,,,John Ford,1939,"Drums Along the Mohawk (John Ford, 1939)"
Stagecoach,,,,,,John Ford,1939,"Stagecoach (John Ford, 1939)"
Young Mr. Lincoln,,,,,,John Ford,1939,"Young Mr. Lincoln (John Ford, 1939)"
The Grapes of Wrath,,,,,,John Ford,1940,"The Grapes of Wrath (John Ford, 1940)"
The Long Voyage Home,,,,,,John Ford,1940,"The Long Voyage Home (John Ford, 1940)"
How Green Was My Valley,,,,,,John Ford,1941,"How Green Was My Valley (John Ford, 1941)"
Tobacco Road,,,,,,John Ford,1941,"Tobacco Road (John Ford, 1941)"
The Battle of Midway,,,,,,John Ford,1942,"The Battle of Midway (John Ford, 1942)"
They Were Expendable,,,,,,John Ford,1945,"They Were Expendable (John Ford, 1945)"
My Darling Clementine,,,,,,John Ford,1946,"My Darling Clementine (John Ford, 1946)"
